"setting","version","epoch","time"
1,1,97,1.44000000000233
1,2,97,1.23999999999796
1,3,97,1.26000000000204
2,1,89,666.879999999997
5,3,76,2087.62
1,1,98,1.44000000000233
1,2,98,1.40999999999622
2,1,90,677.809999999998
1,3,98,1.31999999999971
2,1,91,698.920000000006
5,3,74,2134.25
1,1,99,1.69000000000233
1,2,99,1.48999999999796
1,3,99,1.20999999999913
2,2,83,518.470000000001
2,3,82,320.809999999998
2,2,84,517.220000000001
3,1,81,351.849999999999
2,2,85,530.25
5,3,80,1984.7
1,1,100,1.59999999999854
1,2,100,1.61000000000058
1,3,100,0.889999999999418
2,1,93,675.480000000003
2,1,92,701.699999999997
2,1,94,681.909999999996
2,2,86,546.639999999999
2,2,88,536.300000000003
2,1,95,685.279999999999
2,2,87,561.410000000003
2,2,89,547.659999999996
2,1,96,693.790000000001
2,1,97,679.650000000001
2,3,83,336.5
2,2,90,550.409999999996
2,3,84,334.470000000001
3,1,82,364.190000000002
2,2,91,547.75
2,1,98,676.340000000004
2,3,85,335
2,1,99,691.959999999999
2,3,86,347.040000000001
2,3,88,326.799999999996
2,3,87,355.209999999999
3,2,81,579.769999999997
2,3,89,380.510000000002
2,2,93,553
2,2,94,520.93
2,2,92,561.190000000002
2,2,95,522.389999999999
2,3,90,326.800000000003
3,1,83,370.559999999998
2,1,100,690.029999999999
2,3,91,337.450000000004
3,1,84,373.639999999999
2,2,96,526.43
2,2,97,544.940000000002
3,1,85,375.269999999997
2,2,98,510.739999999998
3,2,82,602.699999999997
3,1,88,356.269999999997
3,1,86,375.139999999999
3,1,87,358.690000000002
3,1,89,358.200000000004
2,3,94,333.829999999994
2,3,93,358.970000000001
2,2,99,529.330000000002
2,3,95,319.110000000001
2,3,92,362.779999999999
3,1,90,364.860000000001
2,3,96,320.830000000002
3,1,91,386.769999999997
2,3,97,341.75
2,2,100,539.669999999998
3,2,83,587.390000000007
2,3,98,326.660000000003
3,2,84,606.370000000003
2,3,99,333.849999999999
